Medicine Name,Category,Timestamp,Quantity Purchased,Expiry Date,Quantity In Stock,Initial Stock,Supplier
Diphenhydramine,Antihistamine,2024-09-06 15:15:00,80,2025-09-30,75,60,HealthMart Ltd.
Propranolol,Antihypertensive,2024-09-07 09:00:00,70,2026-02-28,65,50,Pharma Inc.
Gabapentin,Neuropathic Pain,2024-09-07 10:15:00,55,2025-11-30,50,40,MedSupply Co.
Ethinyl Estradiol,Hormone,2024-09-07 11:30:00,45,2025-07-20,40,30,HealthMart Ltd.
Rifampicin,Antibiotic,2024-09-07 12:45:00,80,2026-05-10,75,55,Pharma Inc.
Amitriptyline,Antidepressant,2024-09-07 14:00:00,60,2025-03-15,55,40,MedSupply Co.
Citalopram,Antidepressant,2024-09-07 15:15:00,50,2025-11-15,45,35,HealthMart Ltd.
Lorazepam,Anti-anxiety,2024-09-08 09:00:00,55,2025-10-10,50,40,Pharma Inc.
Clonazepam,Anti-anxiety,2024-09-08 10:15:00,70,2025-07-01,65,50,MedSupply Co.
Sildenafil,Erectile Dysfunction,2024-09-08 11:30:00,85,2025-12-15,80,60,HealthMart Ltd.
Ropinirole,Parkinson's,2024-09-08 12:45:00,40,2025-08-10,35,25,Pharma Inc.
Mirtazapine,Antidepressant,2024-09-08 14:00:00,55,2025-09-01,50,35,MedSupply Co.
Quetiapine,Antipsychotic,2024-09-08 15:15:00,60,2025-05-20,55,40,HealthMart Ltd.
Levetiracetam,Antiepileptic,2024-09-09 09:00:00,80,2026-06-15,75,60,Pharma Inc.
Donepezil,Alzheimer's,2024-09-09 10:15:00,50,2025-07-25,45,30,MedSupply Co.
Buspirone,Anti-anxiety,2024-09-09 11:30:00,45,2025-12-01,40,30,HealthMart Ltd.
Dextromethorphan,Cough Suppressant,2024-09-09 12:45:00,70,2025-09-10,65,50,Pharma Inc.
Melatonin,Sleep Aid,2024-09-09 14:00:00,60,2025-11-30,55,40,MedSupply Co.
Nystatin,Antifungal,2024-09-09 15:15:00,55,2025-07-20,50,35,HealthMart Ltd.
Spironolactone,Diuretic,2024-09-10 09:00:00,80,2026-02-28,75,60,Pharma Inc.
Fentanyl,Pain Reliever,2024-09-10 10:15:00,30,2025-10-10,25,15,MedSupply Co.
Cetirizine,Antihistamine,2024-09-10 11:30:00,50,2025-08-01,45,35,HealthMart Ltd.
Phenylephrine,Decongestant,2024-09-10 12:45:00,70,2025-06-30,65,50,Pharma Inc.
Ropinirole,Parkinson's,2024-09-10 14:00:00,40,2025-08-10,35,25,MedSupply Co.
